GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
omnitribo-api,com.omnitribo.identidade.infra,DadosPessoaisIdentidade,0,58,0,0,0,21,0,4,0,4
omnitribo-api,com.omnitribo.missoes.api,ResolverDisputaRequest,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,PreviaRecompensaResponse,0,32,0,0,0,3,0,2,0,2
omnitribo-api,com.omnitribo.missoes.api,TriboFinanciamentoController,0,19,0,0,0,5,0,2,0,2
omnitribo-api,com.omnitribo.missoes.api,CriarMissaoRequest,0,63,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,FinanciamentoResponse,0,21,0,0,0,2,0,2,0,2
omnitribo-api,com.omnitribo.missoes.api,ConversaoEntregaFalida.MissaoDeRetirada,0,15,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,MissaoFiltroRequest.Escopo,0,15,0,0,0,3,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,FinanciarMissaoRequest,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,MissaoFiltroRequest,0,48,3,5,0,10,3,2,0,1
omnitribo-api,com.omnitribo.missoes.api,ResumoMissoesDoSistema,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,MissaoProximaResponse,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,MissaoResponse,4,259,3,14,2,49,3,13,0,7
omnitribo-api,com.omnitribo.missoes.api,EdicaoMissaoVerificador,47,47,13,11,14,9,13,2,1,2
omnitribo-api,com.omnitribo.missoes.api,MissaoProximaFiltroRequest,0,28,1,3,0,6,1,2,0,1
omnitribo-api,com.omnitribo.missoes.api,RegistrarCheckinRequest,0,20,0,0,0,2,0,2,0,2
omnitribo-api,com.omnitribo.missoes.api,ResultadoRegistroCheckin,0,45,0,0,0,4,0,4,0,4
omnitribo-api,com.omnitribo.missoes.api,ConversaoEntregaFalida.Encomenda,0,60,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,MissaoController,10,185,1,9,1,33,2,23,1,19
omnitribo-api,com.omnitribo.missoes.api,DestravarMissaoRequest,0,6,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,MotivoRequest,0,6,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,CriacaoMissaoVerificador,10,120,7,35,3,32,7,17,0,3
omnitribo-api,com.omnitribo.missoes.api,MissaoFiltroRequest.CampoOrdenacao,0,42,0,0,0,9,0,3,0,3
omnitribo-api,com.omnitribo.missoes.api,AtualizarMissaoRequest,0,51,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.api,ResolverDisputaRequest.Resultado,0,15,0,0,0,3,0,1,0,1
omnitribo-api,com.omnitribo.geolocalizacao.infra,DadosPessoaisCheckins,0,18,0,0,0,8,0,3,0,3
omnitribo-api,com.omnitribo.geolocalizacao.dominio,RegistroCheckinService,9,189,2,10,2,65,2,8,0,4
omnitribo-api,com.omnitribo.geolocalizacao.dominio,AvaliacaoAntifraude.Avaliacao,0,23,0,2,0,2,0,3,0,2
omnitribo-api,com.omnitribo.geolocalizacao.dominio,AvaliacaoAntifraude,2,148,3,17,1,27,3,11,0,4
omnitribo-api,com.omnitribo.geolocalizacao.dominio,ConsultaPrimeiroCheckinService,14,24,2,2,3,7,2,2,0,2
omnitribo-api,com.omnitribo.geolocalizacao.dominio,MetodoCheckin,0,15,0,0,0,3,0,1,0,1
omnitribo-api,com.omnitribo.geolocalizacao.dominio,Checkin,9,81,0,0,3,28,3,12,3,12
omnitribo-api,com.omnitribo.compartilhado.api,ConsultasGeoespaciais.Centro,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,ConsultasGeoespaciais.AlvoProximo,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,PaginaResponse,0,45,0,0,0,11,0,2,0,2
omnitribo-api,com.omnitribo.compartilhado.api,ImpactoResponse,0,18,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,ImpactoController,0,10,0,0,0,4,0,2,0,2
omnitribo-api,com.omnitribo.compartilhado.api,ImpactoResponse.MissoesDeRetirada,0,18,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,TipoProblema,2,65,1,7,1,26,1,8,0,2
omnitribo-api,com.omnitribo.compartilhado.api,ImpactoResponse.EntregasFalidas,0,21,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,PingController.PingResponse,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,PingController,0,9,0,0,0,2,0,2,0,2
omnitribo-api,com.omnitribo.compartilhado.api,ImpactoResponse.Tokens,0,18,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,EnderecoDoCliente,6,12,2,2,1,3,2,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,ControleDeTentativasLogin.BloqueioAtivo,0,6,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,GlobalExceptionHandler.ErroCampo,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.compartilhado.api,GlobalExceptionHandler,89,293,18,10,23,68,16,16,3,15
omnitribo-api,com.omnitribo.compartilhado.api,ImpactoResponse.CustoEvitado,0,18,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.infra,ChaveProximidade,0,15,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.infra,CacheMissoesProximas,3,42,1,1,1,12,1,6,0,6
omnitribo-api,com.omnitribo.missoes.infra,ExpiracaoMissoesJob.Varredura,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.infra,CacheMissoesProximas.new TransactionSynchronization() {...},0,11,0,0,0,3,0,2,0,2
omnitribo-api,com.omnitribo.missoes.infra,ExpiracaoMissoesJob,46,147,8,12,12,36,6,10,1,5
omnitribo-api,com.omnitribo.missoes.infra,DadosPessoaisMissoes,0,18,0,0,0,8,0,3,0,3
omnitribo-api,com.omnitribo.carteira.infra,DadosPessoaisCarteira,0,18,0,0,0,8,0,3,0,3
omnitribo-api,com.omnitribo.integracoes.dominio,EnderecoService,0,32,0,0,0,8,0,3,0,3
omnitribo-api,com.omnitribo.integracoes.dominio,ClimaService,0,70,0,0,0,13,0,5,0,5
omnitribo-api,com.omnitribo.missoes.dominio,TipoMissaoEvento,0,81,0,0,0,14,0,1,0,1
omnitribo-api,com.omnitribo.missoes.dominio,EstatisticasMissoesService,0,23,0,0,0,6,0,3,0,3
omnitribo-api,com.omnitribo.missoes.dominio,StatusMissao,0,176,0,2,0,35,0,8,0,7
omnitribo-api,com.omnitribo.missoes.dominio,ParametrosEntregaFalida,15,26,5,5,3,5,5,1,0,1
omnitribo-api,com.omnitribo.missoes.dominio,MissaoEvento,11,53,2,2,3,16,5,7,3,7
omnitribo-api,com.omnitribo.missoes.dominio,AtorMissao.PapelAtor,0,21,0,0,0,4,0,1,0,1
omnitribo-api,com.omnitribo.missoes.dominio,AtorMissao,5,68,2,10,1,10,2,11,0,7
omnitribo-api,com.omnitribo.missoes.dominio,CalculadoraDeRecompensa.Insumos,0,34,0,0,0,3,0,2,0,2
omnitribo-api,com.omnitribo.missoes.dominio,ComplexidadeMissao,0,21,0,0,0,4,0,1,0,1
omnitribo-api,com.omnitribo.missoes.dominio,MissaoStateMachine,0,144,1,22,0,39,1,18,0,5
omnitribo-api,com.omnitribo.missoes.dominio,CategoriaMissao,0,27,0,0,0,5,0,1,0,1
omnitribo-api,com.omnitribo.missoes.dominio,ParametrosRecompensa,0,57,0,0,0,4,0,1,0,1
omnitribo-api,com.omnitribo.missoes.dominio,ExpiracaoMissoesService.Candidata,0,20,0,0,0,2,0,2,0,2
omnitribo-api,com.omnitribo.missoes.dominio,RegraExpiracao,0,38,0,0,0,2,0,2,0,2
omnitribo-api,com.omnitribo.missoes.dominio,EventoMissao,0,132,0,0,0,21,0,4,0,4
omnitribo-api,com.omnitribo.missoes.dominio,FinanciamentoService,28,159,6,12,5,46,7,8,1,5
omnitribo-api,com.omnitribo.missoes.dominio,RegraExpiracao.Marco,0,15,0,0,0,3,0,1,0,1
omnitribo-api,com.omnitribo.missoes.dominio,AtorEsperado,0,33,0,0,0,6,0,1,0,1
omnitribo-api,com.omnitribo.missoes.dominio,EstornoFinanciamentoService,10,23,1,1,2,8,1,2,0,2
omnitribo-api,com.omnitribo.missoes.dominio,MissaoService,93,1301,22,72,12,351,24,69,4,42
omnitribo-api,com.omnitribo.missoes.dominio,NivelInsuficienteException,0,24,0,0,0,6,0,3,0,3
omnitribo-api,com.omnitribo.missoes.dominio,CalculadoraDeRecompensa,1,254,3,37,1,49,3,26,0,9
omnitribo-api,com.omnitribo.missoes.dominio,Missao,35,321,5,7,6,108,6,48,1,47
omnitribo-api,com.omnitribo.missoes.dominio,CalculadoraDeRecompensa.Recompensa,0,18,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.missoes.dominio,ExpiracaoMissoesService,3,104,2,6,1,24,2,5,0,3
omnitribo-api,com.omnitribo.missoes.dominio,FontePote,0,21,0,0,0,4,0,1,0,1
omnitribo-api,com.omnitribo.integracoes.api,EnderecoResponse,0,18,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.integracoes.api,CoordenadaRequest,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.integracoes.api,IntegracoesController,0,22,0,0,0,6,0,3,0,3
omnitribo-api,com.omnitribo.integracoes.api,ServicoExternoIndisponivelException,0,7,0,0,0,3,0,2,0,2
omnitribo-api,com.omnitribo.integracoes.api,ConsultaClima.CondicaoClimatica,0,9,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.integracoes.api,ClimaResponse,0,21,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.geolocalizacao.api,ResultadoCheckin.Veredito,0,21,0,0,0,4,0,1,0,1
omnitribo-api,com.omnitribo.geolocalizacao.api,CheckinRejeitadoException,0,68,1,7,0,21,1,9,0,5
omnitribo-api,com.omnitribo.geolocalizacao.api,MotivoRejeicaoCheckin,0,21,0,0,0,4,0,1,0,1
omnitribo-api,com.omnitribo.geolocalizacao.api,ComandoCheckin,0,36,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.geolocalizacao.api,ResultadoCheckin,0,43,0,4,0,3,0,5,0,3
omnitribo-api,com.omnitribo.geolocalizacao.api,LimitesCheckin,0,6,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.notificacoes.api,AlertaFiltroRequest,0,27,1,5,0,8,1,3,0,1
omnitribo-api,com.omnitribo.notificacoes.api,ContagemNaoLidosResponse,0,6,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.notificacoes.api,AlertaResponse,0,24,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.notificacoes.api,AlertaController,0,29,0,0,0,6,0,4,0,4
omnitribo-api,com.omnitribo.logistica.dominio,EstatisticasEntregasFalidasService,0,50,0,2,0,15,0,4,0,3
omnitribo-api,com.omnitribo.logistica.dominio,DirecaoDoFator,0,15,0,0,0,3,0,1,0,1
omnitribo-api,com.omnitribo.logistica.dominio,TipoEndereco,0,27,0,0,0,5,0,1,0,1
omnitribo-api,com.omnitribo.logistica.dominio,ResultadoRisco,0,33,0,0,0,4,0,1,0,1
omnitribo-api,com.omnitribo.logistica.dominio,PontoCustodia,17,56,2,4,3,16,4,13,2,12
omnitribo-api,com.omnitribo.logistica.dominio,CodificadorEntrega,7,225,1,29,1,37,1,22,0,8
omnitribo-api,com.omnitribo.logistica.dominio,PrevisaoRiscoService,0,74,0,4,0,21,0,5,0,3
omnitribo-api,com.omnitribo.logistica.dominio,FatorRisco,0,21,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.logistica.dominio,EntregaFalidaService.Desfecho,0,21,0,0,0,4,0,1,0,1
omnitribo-api,com.omnitribo.logistica.dominio,FeaturesEntrega,15,89,5,15,3,15,5,8,0,3
omnitribo-api,com.omnitribo.logistica.dominio,DadosParaPrevisao,0,30,0,0,0,1,0,1,0,1
omnitribo-api,com.omnitribo.logistica.dominio,EntregaFalida,79,146,2,6,23,44,23,16,21,14
omnitribo-api,com.omnitribo.logistica.dominio,TipoPontoCustodia,0,27,0,0,0,5,0,1,0,1
omnitribo-api,com.omnitribo.logistica.dominio,EntregaFalidaService.ResultadoRegistro,0,18,0,0,0,2,0,2,0,2
omnitribo-api,com.omnitribo.logistica.dominio,PontoCustodiaService,0,127,0,2,0,29,0,10,0,9
omnitribo-api,com.omnitribo.logistica.dominio,ParametrosRisco.Padronizacao,0,9,0,0,0,1,0,1,0,1
