hora_do_dia,dia_semana,tipo_endereco,taxa_historica_cep,peso_kg,volume_l,chuva_mm,temperatura_c,tentativas_anteriores,motorista_experiente,probabilidade_verdadeira,rotulo_invertido,falhou
9,TUESDAY,COMERCIAL,0.0500,7.23,41.70,0.0,23.8,0,1,0.055911,0,0
6,MONDAY,COMERCIAL,0.1500,0.42,11.52,0.0,27.4,1,0,0.269843,0,1
17,SUNDAY,CONDOMINIO,0.1200,1.30,14.63,15.3,18.3,0,1,0.127363,0,0
17,FRIDAY,COMERCIAL,0.3100,3.52,61.65,0.6,19.7,1,1,0.376507,0,1
8,SUNDAY,RESIDENCIAL,0.1200,0.46,15.10,0.0,29.8,0,0,0.072286,0,0
20,FRIDAY,RESIDENCIAL,0.0900,2.66,42.00,10.6,25.7,0,1,0.152581,0,0
15,TUESDAY,RESIDENCIAL,0.1500,1.27,4.72,18.5,17.9,0,1,0.113159,0,0
8,SUNDAY,RESIDENCIAL,0.2200,0.80,33.50,0.0,23.4,0,1,0.060200,0,0
12,TUESDAY,RESIDENCIAL,0.2500,6.68,84.97,0.0,20.3,0,1,0.120562,0,0
9,FRIDAY,RESIDENCIAL,0.1100,0.67,17.42,0.0,28.1,0,0,0.075051,0,0
8,WEDNESDAY,RESIDENCIAL,0.0900,4.18,28.02,0.0,23.1,0,1,0.042639,0,0
16,SUNDAY,COMERCIAL,0.0600,3.34,31.91,0.0,20.9,0,1,0.177868,0,0
6,SUNDAY,CONDOMINIO,0.0900,3.38,42.62,0.0,33.7,0,1,0.075089,0,0
7,FRIDAY,RESIDENCIAL,0.0500,4.04,44.59,4.3,27.7,0,0,0.085244,0,0
17,WEDNESDAY,CONDOMINIO,0.2800,4.69,28.39,25.0,16.4,0,0,0.475971,0,1
10,WEDNESDAY,COMERCIAL,0.2800,1.68,25.31,0.0,22.9,1,1,0.263325,0,0
9,WEDNESDAY,RESIDENCIAL,0.2500,4.99,66.19,0.0,23.5,0,1,0.091914,0,0
20,SATURDAY,RESIDENCIAL,0.0800,10.74,70.73,21.1,23.9,1,0,0.633885,0,1
6,WEDNESDAY,CONDOMINIO,0.1100,1.19,25.62,3.6,26.8,0,1,0.080931,0,0
6,SUNDAY,COMERCIAL,0.1200,2.16,32.01,3.6,28.4,1,1,0.460592,0,1
17,FRIDAY,CONDOMINIO,0.0600,8.60,42.10,0.0,22.5,0,0,0.138644,0,0
7,MONDAY,COMERCIAL,0.3100,1.73,68.20,0.0,30.9,1,0,0.493513,0,0
11,TUESDAY,COMERCIAL,0.1900,20.14,137.74,1.7,20.6,0,0,0.269524,0,0
10,WEDNESDAY,RESIDENCIAL,0.1100,0.83,23.70,15.8,27.8,1,1,0.226628,0,0
11,THURSDAY,RURAL,0.2200,4.11,39.08,1.4,17.1,0,0,0.204903,0,0
7,MONDAY,RURAL,0.1900,2.60,56.36,0.5,23.5,1,1,0.308517,0,0
8,SUNDAY,COMERCIAL,0.1200,3.55,64.28,0.0,28.0,0,1,0.220264,0,0
16,SUNDAY,RESIDENCIAL,0.1900,2.54,23.55,10.3,21.1,0,0,0.161542,0,1
5,SATURDAY,COMERCIAL,0.0900,1.82,34.99,0.0,27.1,1,1,0.534311,0,1
18,THURSDAY,CONDOMINIO,0.0800,12.26,173.18,20.8,20.5,0,0,0.590303,0,0
6,THURSDAY,COMERCIAL,0.1200,4.38,44.43,0.0,21.3,0,0,0.108440,0,0
11,SATURDAY,RESIDENCIAL,0.0800,1.50,27.87,0.0,14.4,0,1,0.029511,0,0
21,MONDAY,RESIDENCIAL,0.2200,8.14,34.49,1.7,23.7,0,0,0.273281,0,0
21,FRIDAY,RESIDENCIAL,0.3100,1.70,30.34,0.0,21.6,3,1,0.862458,0,0
10,THURSDAY,RESIDENCIAL,0.0600,3.07,26.18,0.0,22.7,0,0,0.061541,0,0
6,TUESDAY,RESIDENCIAL,0.1500,0.53,45.71,3.3,22.6,0,0,0.099445,0,1
6,WEDNESDAY,RESIDENCIAL,0.0800,2.23,13.29,1.5,26.5,1,1,0.116748,0,0
9,FRIDAY,COMERCIAL,0.2200,3.15,45.63,0.0,23.2,3,1,0.741786,0,0
10,SATURDAY,RESIDENCIAL,0.1100,3.39,44.94,0.0,26.6,0,1,0.046820,0,0
11,FRIDAY,COMERCIAL,0.3100,5.89,78.37,0.6,22.3,1,1,0.359791,0,0
8,TUESDAY,RESIDENCIAL,0.1200,2.65,22.60,1.0,22.0,0,0,0.077390,0,0
7,THURSDAY,RESIDENCIAL,0.1200,3.09,57.73,5.8,28.9,0,1,0.074273,0,0
7,FRIDAY,RESIDENCIAL,0.0600,7.69,65.03,0.0,28.9,0,1,0.053170,0,0
17,THURSDAY,CONDOMINIO,0.1900,2.01,43.19,0.0,18.2,0,0,0.174655,0,0
14,SUNDAY,CONDOMINIO,0.1200,1.74,18.93,5.1,19.5,0,1,0.088565,0,0
17,TUESDAY,RESIDENCIAL,0.2800,0.99,50.37,0.0,16.3,0,0,0.157391,0,0
8,TUESDAY,RESIDENCIAL,0.0600,0.23,17.29,0.0,23.6,0,0,0.056621,0,0
